gitHubSlug,npmPackageName,abandonedYearMonth
bmeurant/ember-array-contains-helper,ember-array-contains-helper,2018-07
bnoordhuis/node-buffertools,buffertools,2019-07
boblauer/react-onclickout,react-onclickout,2018-02
boennemann/gk-test-dep,gk-test-dep,2017-04
boennemann/nerf-dart,nerf-dart,2017-01
BohdanTkachenko/webpack-split-by-path,webpack-split-by-path,2017-08
bojand/grpc-inspect,grpc-inspect,2018-11
bojand/mailgun-js,mailgun-js,2020-12
bojand/promisify-call,promisify-call,2018-01
bokub/chalk-animation,chalk-animation,2018-08
bokuweb/karma-nightmare,karma-nightmare,2018-06
