repositoryGitHubSlug,npmPackageName,patchedVersion,patchedVersionReleaseDate
sidorares/json-bigint,json-bigint,1.0.0,2020-07-14T11:29:39.282Z
shinnn/load-from-cwd-or-npm,load-from-cwd-or-npm,3.0.4,2019-07-09T04:38:50.272Z
alanshaw/markdown-pdf,markdown-pdf,9.0.0,2018-07-16T08:32:22.703Z
mithunsatheesh/node-rules,node-rules,5.0.0,2020-03-16T13:55:47.944Z
aheckmann/gm,gm,1.21.1,2015-10-26T20:48:56.709Z
mongodb-js/kerberos,kerberos,1.0.0,2018-08-15T17:23:01.477Z
ckeditor/ckeditor-releases,ckeditor,4.11.0,2018-11-07T15:12:54.093Z
nprapps/pym.js,pym.js,1.3.2,2018-02-13T17:50:02.072Z
bitinn/node-fetch,node-fetch,2.6.1,2020-09-05T13:00:44.110Z
thgh/rollup-plugin-serve,rollup-plugin-serve,1.0.2,2020-07-17T09:58:48.155Z
froala/wysiwyg-editor-release,froala-editor,3.2.3,2020-10-29T15:58:48.434Z
delvedor/find-my-way,find-my-way,2.2.5,2020-11-06T17:53:20.860Z
medfreeman/markdown-it-toc-and-anchor,markdown-it-toc-and-anchor,4.2.0,2019-01-01T22:07:57.687Z
steveukx/properties,properties-reader,2.2.0,2020-12-30T07:04:23.740Z
http-party/node-http-proxy,http-proxy,1.18.1,2020-05-17T21:27:32.770Z
TryGhost/Ghost,ghost,3.10.0,2020-03-09T10:56:07.247Z
uNetworking/uWebSockets.js,uws,0.10.9,2016-10-13T22:08:46.282Z
dominictarr/event-stream,event-stream,4.0.0,2018-09-16T11:20:20.938Z
borismoore/jsrender,jsrender,0.9.74,2016-03-20T18:29:31.072Z
hectorm/otpauth,otpauth,3.2.8,2019-07-22T16:42:50.784Z
balderdashy/sails,sails,0.12.7,2016-10-05T23:35:16.745Z
mbraak/jqtree,jqtree,1.3.4,2016-07-18T07:42:25.838Z
hapijs/accept,@hapi/accept,5.0.1,2020-02-13T06:08:32.594Z
richardgirges/express-fileupload,express-fileupload,1.1.9,2020-07-31T13:00:54.326Z
ipfs/js-ipfs-bitswap,ipfs-bitswap,0.24.1,2019-05-30T12:26:33.253Z
patriksimek/vm2,vm2,3.6.11,2019-04-07T23:52:19.359Z
ioBroker/ioBroker.web,iobroker.web,2.4.10,2019-11-09T18:27:23.150Z
electron/electron-packager,electron-packager,7.0.0,2016-04-18T03:18:18.659Z
keycloak/keycloak-nodejs-connect,keycloak-connect,3.1.0,2017-05-03T08:39:06.127Z
pkrumins/node-tree-kill,tree-kill,1.2.2,2019-12-11T18:34:21.876Z
tdanecker/node-unicodetable,unicode,9.0.0,2017-04-04T10:15:26.589Z
wdavidw/node-csv-parse,csv-parse,4.4.6,2019-09-17T20:46:28.230Z
jhipster/generator-jhipster,generator-jhipster,6.3.0,2019-09-13T16:02:15.546Z
node-red/node-red-dashboard,node-red-dashboard,2.17.0,2019-10-03T20:31:46.027Z
doasync/eslint-config-airbnb-standard,eslint-config-airbnb-standard,2.1.0,2018-07-12T14:11:16.173Z
alexindigo/deeply,deeply,3.1.0,2019-06-27T07:11:57.927Z
florianholzapfel/express-restify-mongoose,express-restify-mongoose,2.5.0,2016-02-26T18:19:54.615Z
aFarkas/lazysizes,lazysizes,5.2.1,2020-05-25T13:53:51.273Z
pillarjs/resolve-path,resolve-path,1.4.0,2018-02-13T19:31:55.011Z
DataTables/Dist-DataTables,datatables.net,1.10.22,2020-09-18T15:16:11.267Z
bpmn-io/diagram-js,diagram-js,3.3.1,2019-06-13T08:13:17.047Z
knex/knex,knex,0.19.5,2019-10-06T21:28:57.194Z
dperini/nwmatcher,nwmatcher,1.4.4,2018-03-17T00:24:13.547Z
parse-community/parse-server,parse-server,3.6.0,2019-07-11T13:47:05.329Z
bpmn-io/bpmn-js-properties-panel,bpmn-js-properties-panel,0.31.0,2019-06-21T11:47:01.869Z
tobli/alto-saxophone,alto-saxophone,2.25.1,2016-11-01T07:06:14.250Z
joaquimserafim/base64-url,base64-url,2.0.0,2017-08-17T22:19:55.249Z
hapijs/hoek,hoek,4.2.1,2018-02-15T16:47:47.274Z
myshenin/aws-lambda-multipart-parser,aws-lambda-multipart-parser,0.1.2,2018-03-04T06:27:05.681Z
socketio/engine.io-client,engine.io-client,1.6.9,2016-05-03T03:54:19.472Z
angus-c/just,just-extend,4.0.0,2018-10-30T01:34:39.339Z
claygifford/pm-controls,pm-controls,1.1.7,2018-02-09T22:17:02.016Z
eugeneware/jpeg-js,jpeg-js,0.4.0,2020-04-23T14:07:37.737Z
indutny/elliptic,elliptic,6.5.3,2020-06-18T15:32:46.559Z
request/request,request,2.68.0,2016-01-27T16:20:27.766Z
mcollina/mosca,mosca,2.8.2,2018-06-02T14:20:39.703Z
node-red/node-red,node-red,0.20.8,2019-09-06T09:33:45.227Z
firebase/superstatic,superstatic,5.0.2,2018-06-26T15:42:35.782Z
mafintosh/is-my-json-valid,is-my-json-valid,1.4.1,2015-01-11T18:42:59.045Z
ng-packagr/ng-packagr,ng-packagr,10.1.1,2020-09-25T12:00:56.602Z
apache/openwhisk-client-js,openwhisk,3.3.1,2017-03-02T07:42:23.375Z
groupon/selenium-download,selenium-download,2.0.7,2016-11-02T21:05:11.058Z
commenthol/safer-eval,safer-eval,1.3.2,2019-03-09T21:09:19.319Z
maticzav/graphql-shield,graphql-shield,6.0.6,2019-08-26T08:23:00.875Z
jonschlinkert/mixin-deep,mixin-deep,2.0.1,2019-06-19T17:47:14.541Z
vvo/node-whereis,whereis,0.4.1,2018-03-26T13:21:57.052Z
brianloveswords/base64url,base64url,3.0.0,2018-05-15T18:15:21.788Z
rhalff/dot-object,dot-object,2.1.3,2020-02-16T18:16:46.464Z
node-modules/charset,charset,1.0.1,2017-09-07T03:00:30.260Z
faye/websocket-extensions-node,websocket-extensions,0.1.4,2020-06-02T13:00:09.535Z
expressjs/morgan,morgan,1.9.1,2018-09-11T01:12:35.037Z
moscajs/aedes,aedes,0.35.1,2018-08-07T07:21:18.162Z
codemirror/CodeMirror,codemirror,5.58.2,2020-10-23T19:27:21.948Z
strongloop/node-foreman,foreman,3.0.1,2018-06-28T20:41:09.032Z
SLMNBJ/selectize-plugin-a11y,selectize-plugin-a11y,1.1.0,2019-07-26T07:39:52.552Z
naptha/tesseract.js,tesseract.js,1.0.19,2019-05-14T03:57:17.128Z
kevlened/msrCrypto,msrcrypto,1.5.8,2020-01-30T21:01:06.697Z
substack/minimist,minimist,1.2.3,2020-03-10T19:08:24.657Z
aheckmann/mpath,mpath,0.5.1,2018-08-30T15:54:57.027Z
handsontable/formula-parser,hot-formula-parser,3.0.1,2019-04-19T12:11:06.780Z
nfriedly/node-bestzip,bestzip,2.1.7,2020-09-02T02:02:48.331Z
sindresorhus/decamelize,decamelize,1.1.2,2015-12-23T01:05:36.047Z
danang-id/simple-crypto-js,simple-crypto-js,2.3.0,2020-05-08T09:54:11.174Z
eslint/eslint,eslint,4.18.2,2018-03-02T20:20:51.390Z
geddy/geddy,geddy,13.0.8,2015-07-27T19:24:49.246Z
balderdashy/sails-hook-sockets,sails-hook-sockets,1.5.5,2018-09-23T21:39:14.382Z
skoranga/node-connection-tester,connection-tester,0.2.1,2020-12-16T16:56:32.132Z
socketio/socket.io-parser,socket.io-parser,3.4.1,2020-05-13T06:00:12.181Z
voxpelli/node-connect-pg-simple,connect-pg-simple,6.0.1,2019-08-21T21:23:38.805Z
nicolaspearson/grpc.ts.health.check,grpc-ts-health-check,2.0.0,2019-08-03T17:27:37.721Z
selfcontained/deap,deap,1.0.1,2018-03-05T16:02:27.330Z
jfhbrook/node-ecstatic,ecstatic,2.0.0,2016-08-09T17:45:43.136Z
tanem/react-svg,react-svg,2.2.18,2018-04-21T22:51:52.124Z
keycloak/keycloak,keycloak-js,3.1.0,2017-05-03T08:35:00.180Z
TooTallNate/node-http-proxy-agent,http-proxy-agent,2.1.0,2018-03-03T23:49:40.465Z
mishoo/UglifyJS,uglify-js,2.4.24,2015-07-22T13:59:00.052Z
mooz/node-pdf-image,pdf-image,2.0.0,2018-05-07T14:10:46.545Z
unclechu/node-deep-extend,deep-extend,0.5.1,2018-04-28T11:09:48.953Z
Trott/slug,slug,0.9.2,2018-10-25T05:43:05.877Z
skoranga/node-dns-sync,dns-sync,0.1.3,2015-05-29T20:53:47.879Z
dimpu/ngx-md,ngx-md,6.0.3,2018-09-20T02:25:14.463Z
typestack/class-transformer,class-transformer,0.3.1,2020-07-29T22:09:18.147Z
apache/cordova-android,cordova-android,6.0.0,2016-10-24T19:22:23.857Z
jonschlinkert/remarkable,remarkable,1.7.0,2016-09-27T06:28:21.461Z
jonschlinkert/set-value,set-value,3.0.1,2019-06-19T18:08:54.141Z
renovatebot/renovate,renovate,19.38.7,2019-09-06T21:00:09.413Z
